Currency Portfolio,SD_A,SD_B,Correl,Weight_A,Weight_B,SD_Portfolio
"AUDUSD, GBPUSD",0.006053,0.004111,0.471850325,0.171514004,0.827485998,0.003997855
"AUDUSD, NZDCAD",0.006053,0.004553,-0.825776962,0.422274288,0.576725712,0.001530862
"AUDUSD, NZDCHF",0.006053,0.005457,0.628798923,0.36179205,0.63720795,0.005144269
"AUDUSD, NZDJPY",0.006053,0.005916,-0.146958376,0.489530452,0.509469548,0.003903781
"AUDUSD, NZDUSD",0.006053,0.006347,0.2993307,0.533266705,0.465733295,0.004986911
"AUDUSD, USDCAD",0.006053,0.004198,-0.183703292,0.350161043,0.648838957,0.003128977
"AUDUSD, USDCHF",0.006053,0.004141,-0.655488327,0.387139294,0.611860706,0.002031561
"AUDUSD, USDJPY",0.006053,0.003077,0.499562258,0.100000027,0.89899998,0.003113086
"CADCHF, CADJPY",0.004899,0.004427,0.542465519,0.395272668,0.603727332,0.004063031
"CADCHF, CHFJPY",0.004899,0.003393,0.445946708,0.197985918,0.801014082,0.003267808
"CADCHF, GBPAUD",0.004899,0.004151,0.595095945,0.300876092,0.698123909,0.003956571
"CADCHF, GBPCAD",0.004899,0.004095,0.686553425,0.226339806,0.772660202,0.004007259
"CADCHF, GBPCHF",0.004899,0.004237,-0.275875154,0.44291815,0.55608185,0.002727413
"CADCHF, GBPJPY",0.004899,0.00406,0.759308497,0.134212052,0.864787948,0.004033048
"CADCHF, GBPNZD",0.004899,0.004603,0.88391505,0.235639334,0.763360666,0.004566163
"CADCHF, GBPUSD",0.004899,0.004111,0.41903796,0.351866551,0.647133449,0.003727246
"CADCHF, NZDCAD",0.004899,0.004553,-0.893473195,0.480183023,0.518816977,0.001088115
"CADCHF, NZDCHF",0.004899,0.005457,0.216920095,0.567908418,0.431091582,0.00401424
"CADCHF, NZDJPY",0.004899,0.005916,-0.312326947,0.570758763,0.428241237,0.003132396
"CADCHF, NZDUSD",0.004899,0.006347,0.580062776,0.787865687,0.211134313,0.004763827
"CADCHF, USDCAD",0.004899,0.004198,-0.377698181,0.443776367,0.555223633,0.002516234
"CADCHF, USDCHF",0.004899,0.004141,-0.778519473,0.452482338,0.546517664,0.001491429
"CADCHF, USDJPY",0.004899,0.003077,0.205781386,0.233286953,0.765713047,0.002822337
"CADJPY, CHFJPY",0.004427,0.003393,0.487303366,0.254292745,0.744707256,0.00322867
"CADJPY, GBPAUD",0.004427,0.004151,-0.342926823,0.475583401,0.5234166,0.002452752
"CADJPY, GBPCAD",0.004427,0.004095,0.597638379,0.396258793,0.602741236,0.003787461
"CADJPY, GBPCHF",0.004427,0.004237,-0.435094203,0.484244072,0.514755929,0.002298672
"CADJPY, GBPJPY",0.004427,0.00406,0.489401443,0.412017332,0.586982841,0.003641581
"CADJPY, GBPNZD",0.004427,0.004603,0.357307033,0.529763449,0.469236551,0.003712856
"CADJPY, GBPUSD",0.004427,0.004111,0.816284526,0.300946426,0.698053574,0.004031367
"CADJPY, NZDCAD",0.004427,0.004553,-0.6054639,0.508244802,0.490755199,0.001991793
"CADJPY, NZDCHF",0.004427,0.005457,0.304811076,0.646223923,0.352776078,0.003904843
"CADJPY, NZDJPY",0.004427,0.005916,0.006487611,0.641249035,0.357750965,0.003551926
"CADJPY, NZDUSD",0.004427,0.006347,0.131710481,0.696406194,0.302593807,0.00384098
"CADJPY, USDCAD",0.004427,0.004198,0.46635337,0.449884463,0.549115537,0.003682752
"CADJPY, USDCHF",0.004427,0.004141,-0.382116592,0.475384381,0.523615619,0.002375532
"CADJPY, USDJPY",0.004427,0.003077,0.540185797,0.146885546,0.852114456,0.003023158
"CHFJPY, GBPAUD",0.003393,0.004151,0.028367036,0.601715533,0.397284467,0.002660612
"CHFJPY, GBPCAD",0.003393,0.004095,0.723405613,0.820463532,0.178536469,0.003350956
