Currency Portfolio,SD_A,SD_B,Correl,Weight_A,Weight_B,SD_Portfolio
"EURUSD, EURAUD",0.003803,0.004359,-0.305738153,0.551474387,0.447525613,0.002387941
"EURUSD, EURCAD",0.003803,0.004051,0.548588598,0.569185885,0.429814115,0.003442744
"EURUSD, EURCHF",0.003803,0.002433,0.272389732,0.221347897,0.777652105,0.00227069
"EURUSD, EURGBP",0.003803,0.003356,-0.545220962,0.459166023,0.539833977,0.00169757
"EURUSD, EURJPY",0.003803,0.003214,-0.2560114,0.433013352,0.565986649,0.002118263
"EURUSD, EURNZD",0.003803,0.004539,0.294266393,0.622652157,0.376347843,0.003302407
"EURUSD, GBPAUD",0.003803,0.004151,0.728627786,0.658607174,0.340392826,0.003664316
"EURUSD, GBPCAD",0.003803,0.004095,0.31972882,0.553658348,0.445341652,0.00319603
"EURUSD, GBPCHF",0.003803,0.004237,-0.094124119,0.54867615,0.45032385,0.002691661
"EURUSD, GBPJPY",0.003803,0.00406,0.61774732,0.584516161,0.414483839,0.00352063
"EURUSD, GBPNZD",0.003803,0.004603,0.430765122,0.662885668,0.336114342,0.003479802
"EURUSD, GBPUSD",0.003803,0.004111,-0.283136019,0.529773457,0.469226543,0.002362071
"EURUSD, NZDCAD",0.003803,0.004553,-0.417724531,0.56252475,0.43647525,0.002230247
"EURUSD, NZDCHF",0.003803,0.005457,0.505547668,0.828464521,0.170535479,0.00370907
"EURUSD, NZDJPY",0.003803,0.005916,-0.168830655,0.679302916,0.319697085,0.002932779
"EURUSD, NZDUSD",0.003803,0.006347,0.245976438,0.80034266,0.19865734,0.003569584
"EURUSD, USDCAD",0.003803,0.004198,-0.698948398,0.528510849,0.470489151,0.001546435
"EURUSD, USDCHF",0.003803,0.004141,-0.385450835,0.530158679,0.468841321,0.002194708
"EURUSD, USDJPY",0.003803,0.003077,0.050154904,0.389857473,0.609142527,0.00244746
"GBPAUD, GBPCAD",0.004151,0.004095,0.181836359,0.491213482,0.507786518,0.003165979
"GBPAUD, GBPCHF",0.004151,0.004237,0.104765461,0.510934407,0.488065593,0.003113437
"GBPAUD, GBPJPY",0.004151,0.00406,0.384633728,0.481558166,0.517441835,0.003411699
"GBPAUD, GBPNZD",0.004151,0.004603,0.639075344,0.640721706,0.358278294,0.003924224
"GBPAUD, GBPUSD",0.004151,0.004111,-0.313494123,0.495799782,0.503200218,0.00241777
"GBPAUD, NZDCAD",0.004151,0.004553,-0.402152926,0.53238129,0.46661871,0.00237088
"GBPAUD, NZDCHF",0.004151,0.005457,-0.013531132,0.63109737,0.36790263,0.00327888
"GBPAUD, NZDJPY",0.004151,0.005916,-0.341173853,0.628149554,0.370850446,0.002776466
"GBPAUD, NZDUSD",0.004151,0.006347,0.545316956,0.898999961,0.100000039,0.004112421
"GBPAUD, USDCAD",0.004151,0.004198,-0.846582888,0.502542215,0.496457786,0.001154988
"GBPAUD, USDCHF",0.004151,0.004141,-0.481180811,0.498687349,0.500312651,0.002109537
"GBPAUD, USDJPY",0.004151,0.003077,-0.280608131,0.385087248,0.613912752,0.002104499
"GBPCAD, GBPCHF",0.004095,0.004237,0.037185989,0.517178124,0.481821876,0.002995739
"GBPCAD, GBPJPY",0.004095,0.00406,0.859169621,0.413397038,0.585603054,0.003928688
"GBPCAD, GBPNZD",0.004095,0.004603,0.74546974,0.723488041,0.275511959,0.003998446
"GBPCAD, GBPUSD",0.004095,0.004111,0.715666057,0.506323695,0.492676305,0.003796311
"GBPCAD, NZDCAD",0.004095,0.004553,-0.713258686,0.530360729,0.468639271,0.001630646
"GBPCAD, NZDCHF",0.004095,0.005457,0.375380835,0.717833275,0.281166725,0.003792237
"GBPCAD, NZDJPY",0.004095,0.005916,-0.097684266,0.660670331,0.33832967,0.003204329
"GBPCAD, NZDUSD",0.004095,0.006347,0.254855201,0.767613767,0.231386235,0.003793503
"GBPCAD, USDCAD",0.004095,0.004198,-0.085245084,0.510956742,0.488043259,0.002800846
"GBPCAD, USDCHF",0.004095,0.004141,-0.785718139,0.502598073,0.496401931,0.001346527
"GBPCAD, USDJPY",0.004095,0.003077,0.701315011,0.100000103,0.898999935,0.003067334
"GBPCHF, GBPJPY",0.004237,0.00406,0.014229276,0.477870562,0.521129438,0.002949241
"GBPCHF, GBPNZD",0.004237,0.004603,0.163420811,0.548821057,0.450178943,0.003357987
"GBPCHF, GBPUSD",0.004237,0.004111,0.115919291,0.482450396,0.516549604,0.003113565
"GBPCHF, NZDCAD",0.004237,0.004553,0.339235774,0.553711677,0.445288324,0.003583506
"GBPCHF, NZDCHF",0.004237,0.005457,-0.220651778,0.60145925,0.39754075,0.002959858
"GBPCHF, NZDJPY",0.004237,0.005916,-0.122752773,0.643540655,0.355459345,0.003232531
"GBPCHF, NZDUSD",0.004237,0.006347,0.034459168,0.697346106,0.301653894,0.003575687
"GBPCHF, USDCAD",0.004237,0.004198,-0.094675535,0.495316047,0.503683954,0.002834618
"GBPCHF, USDCHF",0.004237,0.004141,-0.169415694,0.489717717,0.509282283,0.002696345
"GBPCHF, USDJPY",0.004237,0.003077,-0.16101576,0.365461543,0.633538457,0.002286003
"GBPJPY, GBPNZD",0.00406,0.004603,0.797785364,0.798712726,0.200287274,0.004016916
"GBPJPY, GBPUSD",0.00406,0.004111,0.561242067,0.513715926,0.485284074,0.003605652
"GBPJPY, NZDCAD",0.00406,0.004553,-0.750552768,0.532147411,0.466852589,0.001514041
"GBPJPY, NZDCHF",0.00406,0.005457,0.583460623,0.824803349,0.174196651,0.003978948
"GBPJPY, NZDJPY",0.00406,0.005916,-0.202833067,0.650560831,0.348439169,0.00300281
"GBPJPY, NZDUSD",0.00406,0.006347,0.34472854,0.804298152,0.194701849,0.003869432
"GBPJPY, USDCAD",0.00406,0.004198,-0.24987525,0.512869832,0.486130168,0.00252525
"GBPJPY, USDCHF",0.00406,0.004141,-0.793805203,0.505006611,0.493993391,0.001315168
"GBPJPY, USDJPY",0.00406,0.003077,0.465393391,0.254882913,0.744117088,0.002918689
"GBPNZD, GBPUSD",0.004603,0.004111,0.512600453,0.384891892,0.614108108,0.003754705
"GBPNZD, NZDCAD",0.004603,0.004553,-0.759270569,0.496400156,0.502599844,0.001586635
"GBPNZD, NZDCHF",0.004603,0.005457,0.12818002,0.595892676,0.403107324,0.003729503
"GBPNZD, NZDJPY",0.004603,0.005916,-0.374219723,0.589607328,0.409392672,0.002883042
"GBPNZD, NZDUSD",0.004603,0.006347,0.606309045,0.865728531,0.133271469,0.004547831
"GBPNZD, USDCAD",0.004603,0.004198,-0.412480226,0.466991696,0.532008304,0.002376577
"GBPNZD, USDCHF",0.004603,0.004141,-0.885725983,0.47150336,0.527496641,0.001041007
"GBPNZD, USDJPY",0.004603,0.003077,0.174047466,0.271909705,0.727090295,0.002747097
"GBPUSD, NZDCAD",0.004111,0.004553,-0.459350431,0.534386807,0.464613195,0.002243137
"GBPUSD, NZDCHF",0.004111,0.005457,0.199251908,0.669953074,0.329046926,0.003574979
"GBPUSD, NZDJPY",0.004111,0.005916,-0.051056383,0.665739223,0.333260777,0.00329036
"GBPUSD, NZDUSD",0.004111,0.006347,0.163953589,0.739721876,0.259278125,0.003687378
"GBPUSD, USDCAD",0.004111,0.004198,0.454902057,0.518730619,0.480269381,0.003538955
"GBPUSD, USDCHF",0.004111,0.004141,-0.542790324,0.501848875,0.497151125,0.001970747
"GBPUSD, USDJPY",0.004111,0.003077,0.536181095,0.209534118,0.789465882,0.002981083
"NZDCAD, NZDCHF",0.004553,0.005457,-0.106140471,0.58054259,0.41845741,0.003304503
"NZDCAD, NZDJPY",0.004553,0.005916,0.357600367,0.694998603,0.304001397,0.004161449
"NZDCAD, NZDUSD",0.004553,0.006347,-0.179023543,0.636387614,0.362612387,0.003362232
"NZDCAD, USDCAD",0.004553,0.004198,0.403962029,0.431794734,0.567205269,0.003649223
"NZDCAD, USDCHF",0.004553,0.004141,0.850624917,0.191150051,0.807849949,0.004111155
"NZDCAD, USDJPY",0.004553,0.003077,-0.177268608,0.339525048,0.659474952,0.00232276
"NZDCHF, NZDJPY",0.005457,0.005916,0.237470183,0.552239512,0.446760488,0.004455349
"NZDCHF, NZDUSD",0.005457,0.006347,0.310528969,0.607599684,0.391400316,0.004720231
"NZDCHF, USDCAD",0.005457,0.004198,0.241023926,0.332519866,0.666480135,0.003683491
"NZDCHF, USDCHF",0.005457,0.004141,0.020702058,0.362317424,0.636682576,0.003328087
"NZDCHF, USDJPY",0.005457,0.003077,0.619705647,0.100000088,0.899000566,0.003133802
"NZDJPY, NZDUSD",0.005916,0.006347,-0.051566938,0.532859145,0.466140855,0.00421058
"NZDJPY, USDCAD",0.005916,0.004198,0.394032889,0.236877988,0.762122013,0.003966515
"NZDJPY, USDCHF",0.005916,0.004141,0.427097814,0.213916297,0.785083703,0.00396045
"NZDJPY, USDJPY",0.005916,0.003077,0.338006033,0.103011149,0.895988853,0.003017944
"NZDUSD, USDCAD",0.006347,0.004198,-0.039009623,0.310804825,0.688195175,0.00343415
"NZDUSD, USDCHF",0.006347,0.004141,-0.192086024,0.328342387,0.670657613,0.00313566
"NZDUSD, USDJPY",0.006347,0.003077,0.175396357,0.140707033,0.858292967,0.002932515
"USDCAD, USDCHF",0.004198,0.004141,0.486571452,0.486267667,0.512732347,0.003590688
"USDCAD, USDJPY",0.004198,0.003077,0.440876527,0.239953761,0.759046288,0.00292304
"USDCHF, USDJPY",0.004141,0.003077,-0.117618254,0.369959007,0.629040993,0.002322902
